,Parish,CD #,"CD Pop.
in Parish","% of Parish
in CD"
0,Acadia,3,61773,1.0
1,Allen,4,25764,1.0
2,Ascension,2,20312,0.189
3,Ascension,6,86903,0.811
4,Assumption,2,7637,0.326
5,Assumption,6,15784,0.674
6,Avoyelles,5,42073,1.0
7,Beauregard,4,35654,1.0
8,Bienville,4,14353,1.0
9,Bossier,4,116979,1.0
10,Caddo,4,254969,1.0
11,Calcasieu,3,192768,1.0
12,Caldwell,5,10132,1.0
13,Cameron,3,6839,1.0
14,Catahoula,5,10407,1.0
15,Claiborne,4,17195,1.0
16,Concordia,5,20822,1.0
17,De Soto,4,26656,1.0
18,East Baton Rouge,2,102184,0.232
19,East Baton Rouge,6,337987,0.768
20,East Carroll,5,7759,1.0
21,East Feliciana,5,11728,0.579
22,East Feliciana,6,8539,0.421
23,Evangeline,4,33984,1.0
24,Franklin,5,20767,1.0
25,Grant,5,22309,1.0
26,Iberia,3,73240,1.0
27,Iberville,2,23326,0.699
28,Iberville,6,10061,0.301
29,Jackson,5,16274,1.0
30,Jefferson,1,232558,0.538
31,Jefferson,2,199994,0.462
32,Jefferson Davis,3,31594,1.0
33,Lafayette,3,221578,1.0
34,Lafourche,1,46243,0.48
35,Lafourche,6,50075,0.52
36,La Salle,5,14890,1.0
37,Lincoln,5,46735,1.0
38,Livingston,6,128026,1.0
39,Madison,5,12093,1.0
40,Morehouse,5,27979,1.0
41,Natchitoches,4,39566,1.0
42,Orleans,1,41766,0.121
43,Orleans,2,302063,0.879
44,Ouachita,5,153720,1.0
45,Plaquemines,1,23042,1.0
46,Pointe Coupee,6,22802,1.0
47,Rapides,5,131613,1.0
48,Red River,4,9091,1.0
49,Richland,5,20725,1.0
50,Sabine,4,24233,1.0
51,St. Bernard,1,35897,1.0
52,St. Charles,2,33730,0.639
53,St. Charles,6,19050,0.361
54,St. Helena,5,2734,0.244
55,St. Helena,6,8469,0.756
56,St. James,2,22102,1.0
57,St. John the Baptist,2,33564,0.731
58,St. John the Baptist,6,12360,0.269
59,St. Landry,3,2995,0.036
60,St. Landry,4,40899,0.49
61,St. Landry,5,39490,0.474
62,St. Martin,3,52160,1.0
63,St. Mary,3,54650,1.0
64,St. Tammany,1,233740,1.0
65,Tangipahoa,1,72728,0.601
66,Tangipahoa,5,48369,0.399
67,Tensas,5,5252,1.0
68,Terrebonne,1,69471,0.621
69,Terrebonne,6,42389,0.379
70,Union,4,22721,1.0
71,Vermilion,3,57999,1.0
72,Vernon,4,52334,1.0
73,Washington,5,47168,1.0
74,Webster,4,41207,1.0
75,West Baton Rouge,2,10626,0.447
76,West Baton Rouge,6,13162,0.553
77,West Carroll,5,11604,1.0
78,West Feliciana,5,15625,1.0
79,Winn,5,15313,1.0
