,County,SD #,"SD Pop.
in County","% of County
in SD"
0,Abbeville,4.0,2741.0,0.108
1,Abbeville,10.0,22676.0,0.892
2,Aiken,24.0,97173.0,0.607
3,Aiken,25.0,32710.0,0.204
4,Aiken,26.0,30216.0,0.189
5,Allendale,40.0,3930.0,0.377
6,Allendale,45.0,6489.0,0.623
7,Anderson,3.0,101647.0,0.543
8,Anderson,4.0,85479.0,0.457
9,Bamberg,40.0,15987.0,1.0
10,Barnwell,40.0,22621.0,1.0
11,Beaufort,43.0,39107.0,0.241
12,Beaufort,45.0,20741.0,0.128
13,Beaufort,46.0,102385.0,0.631
14,Berkeley,32.0,10355.0,0.058
15,Berkeley,37.0,70532.0,0.397
16,Berkeley,38.0,2993.0,0.017
17,Berkeley,39.0,7420.0,0.042
18,Berkeley,44.0,86543.0,0.487
19,Calhoun,26.0,6202.0,0.409
20,Calhoun,39.0,8973.0,0.591
21,Charleston,34.0,17096.0,0.049
22,Charleston,37.0,31989.0,0.091
23,Charleston,38.0,5955.0,0.017
24,Charleston,41.0,91801.0,0.262
25,Charleston,42.0,101004.0,0.288
26,Charleston,43.0,65859.0,0.188
27,Charleston,44.0,11402.0,0.033
28,Charleston,45.0,25103.0,0.072
29,Cherokee,14.0,55342.0,1.0
30,Chester,17.0,33140.0,1.0
31,Chesterfield,27.0,45154.0,0.966
32,Chesterfield,29.0,1580.0,0.034
33,Clarendon,36.0,34971.0,1.0
34,Colleton,39.0,11049.0,0.284
35,Colleton,40.0,12269.0,0.315
36,Colleton,43.0,558.0,0.014
37,Colleton,45.0,15016.0,0.386
38,Darlington,29.0,57903.0,0.843
39,Darlington,31.0,7224.0,0.105
40,Darlington,36.0,3554.0,0.052
41,Dillon,28.0,5485.0,0.171
42,Dillon,30.0,26577.0,0.829
43,Dorchester,38.0,94750.0,0.694
44,Dorchester,39.0,19143.0,0.14
45,Dorchester,41.0,13351.0,0.098
46,Dorchester,42.0,2876.0,0.021
47,Dorchester,44.0,6435.0,0.047
48,Edgefield,25.0,26985.0,1.0
49,Fairfield,17.0,23956.0,1.0
50,Florence,30.0,28007.0,0.205
51,Florence,31.0,91530.0,0.669
52,Florence,32.0,9793.0,0.072
53,Florence,36.0,7555.0,0.055
54,Georgetown,32.0,37656.0,0.626
55,Georgetown,34.0,22502.0,0.374
56,Greenville,5.0,74707.0,0.166
57,Greenville,6.0,101187.0,0.224
58,Greenville,7.0,96163.0,0.213
59,Greenville,8.0,101609.0,0.225
60,Greenville,9.0,30871.0,0.068
61,Greenville,12.0,34307.0,0.076
62,Greenville,13.0,12381.0,0.027
63,Greenwood,4.0,11178.0,0.16
64,Greenwood,10.0,58483.0,0.84
65,Hampton,40.0,5897.0,0.28
66,Hampton,45.0,15193.0,0.72
67,Horry,28.0,91946.0,0.341
68,Horry,30.0,5606.0,0.021
69,Horry,32.0,4576.0,0.017
70,Horry,33.0,103213.0,0.383
71,Horry,34.0,63950.0,0.237
72,Jasper,45.0,21856.0,0.882
73,Jasper,46.0,2921.0,0.118
74,Kershaw,22.0,2067.0,0.034
75,Kershaw,27.0,38975.0,0.632
76,Kershaw,35.0,20655.0,0.335
77,Lancaster,16.0,64050.0,0.836
78,Lancaster,27.0,12602.0,0.164
79,Laurens,9.0,66537.0,1.0
80,Lee,29.0,11228.0,0.584
81,Lee,35.0,7992.0,0.416
82,Lexington,18.0,57411.0,0.219
83,Lexington,20.0,23698.0,0.09
84,Lexington,23.0,98143.0,0.374
85,Lexington,25.0,24019.0,0.092
86,Lexington,26.0,59120.0,0.225
87,McCormick,10.0,4426.0,0.433
88,McCormick,25.0,5807.0,0.567
89,Marion,30.0,33062.0,1.0
90,Marlboro,29.0,26106.0,0.902
91,Marlboro,30.0,2827.0,0.098
92,Newberry,18.0,37508.0,1.0
93,Oconee,1.0,74273.0,1.0
94,Orangeburg,39.0,49341.0,0.533
95,Orangeburg,40.0,43160.0,0.467
96,Pickens,1.0,22303.0,0.187
97,Pickens,2.0,96921.0,0.813
98,Richland,19.0,100434.0,0.261
99,Richland,20.0,77052.0,0.2
100,Richland,21.0,100237.0,0.261
101,Richland,22.0,94905.0,0.247
102,Richland,35.0,11876.0,0.031
103,Saluda,10.0,10931.0,0.55
104,Saluda,25.0,7665.0,0.386
105,Saluda,26.0,1279.0,0.064
106,Spartanburg,5.0,26398.0,0.093
107,Spartanburg,11.0,100789.0,0.355
108,Spartanburg,12.0,69859.0,0.246
109,Spartanburg,13.0,74176.0,0.261
110,Spartanburg,14.0,13085.0,0.046
111,Sumter,35.0,56500.0,0.526
112,Sumter,36.0,50956.0,0.474
113,Union,13.0,17800.0,0.615
114,Union,14.0,5475.0,0.189
115,Union,18.0,5686.0,0.196
116,Williamsburg,32.0,34423.0,1.0
117,York,14.0,31393.0,0.139
118,York,15.0,105434.0,0.466
119,York,16.0,41311.0,0.183
120,York,17.0,47935.0,0.212
